model_id,shape_id,observations,covered_choices,blocks,selected_providers,candidate_providers,median_candidate_count,menu_signatures,price_moving_providers,median_within_menu_log_price_sd,median_within_menu_log_price_range,eta_price_only,eta_profile_ci_low,eta_profile_ci_high,eta_block_bootstrap_low,eta_block_bootstrap_high,observed_information,eta_asymptotic_se,price_only_status,price_only_failures,score_adjusted_status,minimum_nll,eta_partially_pooled,eta_partially_pooled_se
deepseek/deepseek-v4-pro,short_chat,110,110,20,8,17,17.0,2,1,0.3829903077209826,1.3862943611198908,1.2564721497381208,0.88,1.62,1.0666294522413695,1.4735200128785213,27.568220438062802,0.19045642743450147,ready,,not_identified_from_provider_fixed_effects,292.6950489074595,1.4082841266313275,0.11135157190624656
openai/gpt-oss-120b,input_heavy,3,3,1,3,18,18.0,1,0,0.6333613094886987,2.4275287210750367,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
openai/gpt-oss-120b,output_heavy,3,3,1,2,18,18.0,1,0,0.5485090645258351,1.810108607896252,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
openai/gpt-oss-120b,short_chat,6,6,2,4,18,18.0,1,0,0.5833795528517441,2.134448171192048,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
openai/gpt-oss-120b,tool_call,3,3,1,1,13,13.0,1,0,0.6628255292473051,2.134448171192048,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
stepfun/step-3.7-flash,input_heavy,6,6,2,2,3,3.0,1,0,0.0,0.0,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
stepfun/step-3.7-flash,output_heavy,3,3,1,2,3,3.0,1,0,0.0,0.0,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
stepfun/step-3.7-flash,short_chat,116,113,22,3,3,3.0,1,0,1.7763568394002505e-15,0.0,,,,,,6.988676531533991e-26,,insufficient_support,within_menu_price_contrast,not_identified_from_provider_fixed_effects,,,
stepfun/step-3.7-flash,tool_call,3,0,0,0,0,,0,0,,,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
xiaomi/mimo-v2.5-pro,input_heavy,6,6,2,3,6,6.0,1,0,0.34072289850457577,1.0632156719532313,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
xiaomi/mimo-v2.5-pro,output_heavy,3,3,1,3,6,6.0,1,0,0.5275889903534926,1.343234871659443,,,,,,0.0,,insufficient_support,"choices,blocks,within_menu_price_contrast",not_identified_from_provider_fixed_effects,,,
xiaomi/mimo-v2.5-pro,short_chat,109,109,20,4,6,6.0,1,0,0.39589519625193004,1.1508629790119862,1.9266034718501248,1.26,2.68,1.756277919446475,2.10734140711144,7.586749550312025,0.3630547525139142,ready,,not_identified_from_provider_fixed_effects,175.8523650832658,1.542084509971688,0.1283856025378649
z-ai/glm-5.2,short_chat,58,58,29,24,28,28.0,26,4,0.22395241638225422,1.0742696835395336,1.9318523070848677,0.81,3.06,0.5324549826392433,2.9367348165688494,3.0128816288815696,0.5761147114508973,ready,,provisional_within_provider_support,187.68848378403004,1.511013675106146,0.13351717457725504
